Местное время в Екатеринбурге;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;;;;;;
31.12.2023 23:00;-10,8;726,2;753,1;-1,9;88;Ветер, дующий с востоко-юго-востока;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;-12,4;;;;;;
31.12.2023 20:00;-11,3;728,1;755,2;-1,6;86;Ветер, дующий с востоко-юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-11,3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;-13,2;;;;;;
31.12.2023 17:00;-12,6;729,7;756,9;-0,6;81;Ветер, дующий с юго-востока;2;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег или дождь со снегом.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10,0;-15,2;;;;;;
31.12.2023 14:00;-13,1;730,3;757,7;0,2;78;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-16,1;;;;;;
31.12.2023 11:00;-14,9;730,1;757,6;0,8;83;Ветер, дующий с западо-юго-запада;3;;;70 – 80%.; ;;;-15,8;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-17,2;;;;;;
31.12.2023 08:00;-15,5;729,3;756,8;0,9;83;Ветер, дующий с запада;4;;;Облаков нет.; ;;;-15,7;;;;;;;10,0;-17,7;;;;;;
31.12.2023 05:00;-15,2;728,4;755,9;1,2;81;Ветер, дующий с запада;4;;11;Облаков нет.; ;;;;;;;;;;10,0;-17,8;;;;;;
31.12.2023 02:00;-14,0;727,2;754,5;1,6;80;Ветер, дующий с западо-северо-запада;5;;12;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-16,8;;;;;;
30.12.2023 23:00;-13,2;725,6;752,8;1,2;78;Ветер, дующий с западо-северо-запада;5;10;13;60%.;Состояние неба в общем не изменилось. ;Песчаная или пыльная буря или снежная низовая метель.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;-16,2;;;;;;
30.12.2023 20:00;-12,4;724,4;751,4;0,7;76;Ветер, дующий с запада;6;11;14;90  или более, но не 100%;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Песчаная или пыльная буря или снежная низовая метель.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-11,6;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";10,0;-15,8;;;;;;
